run, name, in_degree, out_degree, total_degree, distance, exp_utility, exp_gini, mutual_info, exp_independent, size_before, min, max
112, KINKEDTUBE, 0, 2, 2, 2, 0.009112526865010847, 0.0055865371425855015, 0.011572980872184058, 22.060641819201077, 22, 22, 27
112, MINVOL, 2, 0, 2, 2, 0.1275207202260116, 0.0955716648164785, 0.2346747459838796, 22.932888285374123, 22, 20, 25
112, PVSAT, 2, 1, 3, 3, 0.07229394726701383, 0.0461674766260779, 0.11263824759227758, 22.134994241992977, 22, 22, 23
112, INTUBATION, 0, 5, 5, 2, 0.07521229033237808, 0.04522774973804389, 0.10972828783943589, 22.25428751984343, 22, 22, 24
112, PRESS, 3, 0, 3, 1, 0.28928721115530937, 0.19739900912394398, 0.47084764549741775, 22.412761475778908, 22, 21, 23
112, MINVOLSET, 0, 1, 1, 2, 0.16210446374968096, 0.19093445686253563, 0.46127644738459916, 23.245177029798537, 22, 21, 30
112, VENTMACH, 1, 1, 2, 1, 0.2609971812218775, 0.3016844864240137, 0.7473534179062217, 25.460276227062952, 22, 21, 31
112, VENTLUNG, 3, 3, 6, 1, 0.09865334614666582, 0.06982724704780596, 0.18462413344451067, 23.605350398935922, 22, 23, 27
112, VENTALV, 2, 2, 4, 2, 0.0755036371477461, 0.05882503464169275, 0.14538714206402936, 23.21211242376401, 22, 23, 27
113, MINVOL, 2, 0, 2, 2, 0.2234366722253283, 0.12383426629313299, 0.3418021417255316, 27.523524612122348, 24, 23, 29
113, PVSAT, 2, 1, 3, 3, 0.18796410137221753, 0.1052251782143695, 0.2568416984986388, 26.445509988585737, 24, 21, 27
113, SAO2, 2, 1, 3, 4, 0.1737874928783035, 0.08994939760740939, 0.2178945573086064, 24.233740647822934, 24, 18, 25
113, PRESS, 3, 0, 3, 1, 0.1127409181236988, 0.04429599102138643, 0.1865240505058523, 23.582882469902543, 24, 22, 29
113, DISCONNECT, 0, 1, 1, 1, 0.13635231769227954, 0.11055944225832276, 0.2335811113253602, 25.18152825547359, 24, 25, 27
113, MINVOLSET, 0, 1, 1, 2, 0.1307920801358423, 0.1068513301042871, 0.27187256084795786, 24.446874641585524, 24, 24, 32
113, VENTMACH, 1, 1, 2, 1, 0.215691761607368, 0.1946670917988561, 0.47515118501539233, 27.57247529167002, 24, 27, 33
113, VENTLUNG, 3, 3, 6, 1, 0.20965167718259334, 0.10388530854612671, 0.3045065339597598, 27.131482631517812, 24, 20, 29
113, VENTALV, 2, 2, 4, 2, 0.21776018715555298, 0.12191685459485413, 0.3337498682564525, 28.081744569892173, 24, 25, 29
113, ARTCO2, 1, 2, 3, 3, 0.19401815189797023, 0.10154252216343279, 0.24952438971831137, 25.25768137111786, 24, 22, 26
114, MINVOL, 2, 0, 2, 2, 0.252871766860316, 0.14457525615488115, 0.38236083450519076, 27.322474722126522, 24, 23, 29
114, PVSAT, 2, 1, 3, 3, 0.22213171933440456, 0.12478692914097389, 0.29765812859029517, 26.26798902765922, 24, 18, 27
114, SAO2, 2, 1, 3, 4, 0.20645720370386234, 0.1083870402207544, 0.25585558835428146, 23.918900189809996, 24, 18, 25
114, PRESS, 3, 0, 3, 1, 0.11556387470186817, 0.05121222307430667, 0.2077766845462944, 23.531556614909796, 24, 22, 29
114, DISCONNECT, 0, 1, 1, 1, 0.14480639979277976, 0.11701407728562974, 0.24377842078733614, 25.199999999517328, 24, 25, 27
114, MINVOLSET, 0, 1, 1, 2, 0.14307839969680275, 0.11798138852409507, 0.2957833502959577, 24.49999999861302, 24, 24, 32
114, VENTMACH, 1, 1, 2, 1, 0.23458636753422543, 0.21350412241251293, 0.513555816204934, 27.635999998341255, 24, 27, 33
114, VENTLUNG, 3, 3, 6, 1, 0.24076357827053751, 0.12448384044288502, 0.3450613213854856, 27.27321671664897, 24, 22, 29
114, VENTALV, 2, 2, 4, 2, 0.24643124781591286, 0.14194462770256255, 0.3741879118788507, 27.937872307248988, 24, 25, 29
